Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,Z Khan,0,0,0,0,113,6,17,1,16,7,23,62,91,153,255,185,8,0,8,0.974359,0,8.35897,60.9346,39,1
India,259,242.378,7.15058,0.339768,244.568,7.12741,0.30888,MM Patel,0,0,0,0,113,6,17,1,16,7,23,62,91,153,255,185,8,0,8,0.363636,0,3.22727,66.9811,22,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AC Botha,25,10,15,40,90,4,22,0,0,10,10,56,66,122,0,183,19,0,8,1.25,0.0833333,14.3333,53.75,12,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,KJ O'Brien,17,4,13,46,90,4,22,0,0,10,10,56,66,122,0,183,19,0,8,2.64706,0.0588235,22.3824,79.4363,34,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AR White,0,0,0,0,90,4,22,0,0,10,10,56,66,122,0,183,19,0,8,1.17647,0,14.1765,59.9502,17,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,WK McCallan,0,0,0,0,90,4,22,0,0,10,10,56,66,122,0,183,19,0,8,0.692308,0,7.69231,56.8182,13,3
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,S Chanderpaul,94,60,34,106,143,2,18,0,16,6,22,110,73,183,184,190,7,1,8,3.57143,0.396825,40.8254,68.0783,63,4
West Indies,176,217.33,7.15909,0.3125,225.278,7.57386,0.380682,MN Samuels,13,8,5,22,143,2,18,0,16,6,22,110,73,183,184,190,7,1,8,3.74757,0.23301,31.6214,74.5821,103,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,RT Ponting,52,26,26,63,192,2,38,0,24,20,44,178,96,274,0,377,14,0,8,4.17431,0.33945,38.1009,80.8606,109,4
Australia,228,239.627,7.69737,0.372807,232.079,7.23246,0.337719,MJ Clarke,35,18,17,40,192,2,38,0,24,20,44,178,96,274,0,377,14,0,8,3.10294,0.301471,35.9265,74.0303,136,4
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,MV Boucher,4,0,4,11,194,1,22,2,14,14,28,152,92,244,378,294,15,0,8,2.21053,0.0877193,22.2281,89.3512,57,0
South Africa,190,234.274,7.4,0.373684,232.363,7.33158,0.342105,JH Kallis,30,12,18,42,194,1,22,2,14,14,28,152,92,244,378,294,15,0,8,3.58621,0.356322,37.2644,76.4442,87,4
