Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played
MA Ouma,1.78260869565,0.0434782608696,23
DC Thomas,1.10526315789,0,19
R Gunasekera,1.91666666667,0.25,12
RDM Leverock,0.222222222222,0,9
J Patraj,0.5,0,2
HS Baidwan,0.833333333333,0,12
Rizwan Cheema,2.46153846154,0.0769230769231,13
WD Parnell,1.47826086957,0.0434782608696,23
AR Berenger,1.625,0.125,8
TT Bresnan,1.52380952381,0.015873015873,63
DR Brown,1.5,0,4
CK Langeveldt,0.571428571429,0,14
RD Berrington,2.15789473684,0.157894736842,19
Dawlat Zadran,0.952380952381,0,21
DAJ Bracewell,0.428571428571,0,7
KD Mills,1.52542372881,0.0338983050847,59
UT Yadav,0.533333333333,0,15
Dolar Mahmud,2.25,0,4
JWM Dalrymple,1.36,0.08,25
KMDN Kulasekara,1.20388349515,0.0388349514563,103
K Weeraratne,1.66666666667,0,3
RG Aga,5.0,0.333333333333,3
TG Gordon,0.5,0,4
UT Khawaja,2.8,0.2,5
Suhrawadi Shuvo,1.0,0,10
RR Sarwan,2.90625,0.21875,64
CA Pujara,0.5,0,4
WB Rankin,0.0769230769231,0,13
Arafat Sunny,0.454545454545,0,11
Q de Kock,5.07272727273,0.236363636364,55
Yasir Hameed,1.2,0.2,5
K Whatham,2.0,0,1
TA Boult,0.727272727273,0,11
MJ Prior,2.27083333333,0.0625,48
TMK Mawoyo,0.571428571429,0,7
J Botha,1.13636363636,0,44
LP van Troost,1.0,0,4
JJ Celestine,1.66666666667,0,3
S Jyoti,0.5,0,2
RT Ponting,4.2389380531,0.336283185841,113
Zafar Gohar,1.0,0,1
CJ Ferguson,2.47826086957,0.173913043478,23
MJ Clarke,3.21830985915,0.30985915493,142
Habibul Bashar,1.125,0,16
RR Patel,1.5,0,10
IH Romaine,1.75,0.0833333333333,12
Krishna Chandran,0.6,0,5
GH Dockrell,0.708333333333,0,24
GJ Maxwell,3.89090909091,0.236363636364,55
L Sreekumar,2.0,0,1
RJ Nicol,3.3,0.2,20
KAD Hurdle,0.375,0,8
RJ Peterson,1.62068965517,0.0344827586207,29
Usman Ghani,3.36363636364,0.181818181818,11
SO Tikolo,2.39130434783,0.0869565217391,23
SS Pathirana,2.33333333333,0,3
JM Davison,3.2,0.2,10
T Mishra,2.46666666667,0.266666666667,15
GI Maiden,1.0,0,1
MR Marsh,3.48148148148,0.259259259259,27
XJ Doherty,0.190476190476,0,21
SJ Harmison,0.142857142857,0,7
J Lewis,0.571428571429,0,7
R Rampaul,1.30303030303,0.030303030303,33
D Langford-Smith,0.888888888889,0,9
DR Chumney,2.5,0,6
RN ten Doeschate,5.53846153846,0.461538461538,13
KD Karthik,2.46551724138,0.103448275862,58
CA Young,1.0,0,3
AG Prince,1.375,0,8
PA Browne,2.6,0,5
JM Anderson,0.365384615385,0,52
RT Crandon,1.0,0,1
PA Nixon,1.55555555556,0,18
Raza-ur-Rehman,6.0,0.5,4
Mohammad Amir,1.5,0.0714285714286,14
TBM de Leede,1.0,0,4
S Randiv,1.6875,0.0625,16
NM Lyon,0.666666666667,0,3
TC Mutombodzi,1.0,0,3
RM Haq,1.21052631579,0.0526315789474,19
RN Lewis,1.66666666667,0,6
JL Carter,1.91666666667,0.0833333333333,12
SR Clark,0.285714285714,0,7
F Behardien,2.20588235294,0.117647058824,34
NN Odhiambo,1.11111111111,0,18
P Mustard,3.33333333333,0.111111111111,9
A Mishra,0.375,0,8
MS Chapman,13.0,1.0,1
Nasir Hossain,2.73333333333,0.155555555556,45
HH Gibbs,4.7962962963,0.314814814815,54
B Zuiderent,1.36363636364,0.0909090909091,11
AL Kandappah,3.5,0.5,2
MA Starc,0.642857142857,0,14
HJW Gardiner,3.33333333333,0.222222222222,9
TM Dowlin,2.1,0.2,10
JS Patel,0.7,0,10
FDM Karunaratne,1.0,0,11
J Anderson,1.66666666667,0,3
LN Onyango,1.5,0,4
AA Obanda,4.69230769231,0.230769230769,13
SM Katich,2.33333333333,0,3
Waqas Barkat,0.5,0,2
Misbah-ul-Haq,2.9696969697,0.295454545455,132
DBL Powell,0.529411764706,0,17
LS Baker,0.666666666667,0,3
Shakib Al Hasan,2.9,0.253846153846,130
