Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played,ClusterID
M Ntini,0.375,0.0,16,4
AG Cremer,1.0,0.0277777777778,36,0
A Flintoff,2.4375,0.09375,32,2
ES Szwarczynski,2.72727272727,0.272727272727,11,2
Mahbubul Alam,3.5,0.5,2,1
I Wardlaw,0.222222222222,0.0,9,4
G Gambhir,4.05,0.341666666667,120,1
NJ Astle,2.8,0.1,10,2
Faisal Iqbal,3.0,0.0,1,1
Sarfraz Ahmed,2.02380952381,0.0952380952381,42,2
L Balaji,1.0,0.0,1,0
Munir Dar,2.0,0.0,2,2
Anwar Ali,2.13333333333,0.0,15,2
S Chattergoon,4.66666666667,0.166666666667,6,3
Imad Wasim,2.33333333333,0.333333333333,3,2
BP Nash,1.0,0.0,1,0
Zahid Shah,1.0,0.0,2,0
RT Lyons,1.0,0.0,1,0
W Jaffer,1.0,0.0,2,0
Anamul Haque,3.96296296296,0.222222222222,27,1
CR Woakes,1.06060606061,0.0,33,0
RS Morton,2.2962962963,0.222222222222,27,2
Hasti Gul,3.0,0.0,1,1
FH Edwards,0.384615384615,0.0,13,4
M Muralitharan,0.69696969697,0.0,33,4
GS Ballance,1.46666666667,0.133333333333,15,0
SW Poynter,0.5,0.0,2,4
Alok Kapali,2.21428571429,0.0714285714286,14,2
CJO Smith,2.5,0.1,10,2
R Dhawan,0.5,0.0,2,4
AF Milne,0.916666666667,0.0,12,0
EJ Richardson,2.0,0.0,1,2
Sabbir Rahman,3.21052631579,0.105263157895,19,1
Zain Abbas,2.0,0.0,1,2
Ahmed Raza,1.66666666667,0.0,3,0
PW Borren,3.125,0.1875,16,1
R Clarke,1.5,0.0,2,0
JD Ryder,4.83333333333,0.25,36,3
IDR Bradshaw,0.571428571429,0.0,7,4
MA Vermeulen,1.85714285714,0.142857142857,7,2
TC Bastiampillai,2.6,0.0,5,2
Shafiul Islam,0.535714285714,0.0,28,4
GD Elliott,2.68181818182,0.19696969697,66,2
MN Waller,1.80434782609,0.0652173913043,46,2
KO Otieno,1.25,0.0,4,0
I Sharma,0.24,0.0,25,4
MS Panesar,0.285714285714,0.0,7,4
AJ Finch,4.43396226415,0.301886792453,53,3
OL Pitcher,0.666666666667,0.0,3,4
ML Hayden,6.35897435897,0.384615384615,39,3
AR White,1.0,0.0,23,0
C Zhuwao,3.0,0.0,1,1
MW Machan,3.35714285714,0.214285714286,14,1
Shahid Afridi,2.67785234899,0.0939597315436,149,2
LL Tsotsobe,0.444444444444,0.0,18,4
BB Chari,1.0,0.0,4,0
JK Kamande,0.823529411765,0.0,17,4
SP Fleming,4.30769230769,0.307692307692,26,1
U Bhatti,1.625,0.0,8,0
AD Poynter,0.833333333333,0.0,6,4
PM Seelaar,0.714285714286,0.0,7,4
Zulfiqar Babar,0.6,0.0,5,4
JJ Roy,4.36842105263,0.210526315789,19,3
Mohammad Rizwan,2.76923076923,0.230769230769,13,2
DW Steyn,0.75,0.0,44,4
BJ Watling,3.0,0.263157894737,19,1
Zaheer Maqsood,1.0,0.0,1,0
Kamran Akmal,3.0,0.119565217391,92,1
B Kumar,0.75,0.0,28,4
Aftab Alam,0.6,0.0,5,4
CJ McKay,0.615384615385,0.0,26,4
CRD Fernando,0.571428571429,0.0,21,4
SPD Smith,3.27118644068,0.237288135593,59,1
ME Trescothick,6.625,0.375,8,3
JW Dernbach,0.125,0.0,8,4
JJ Atkinson,2.33333333333,0.0,3,2
C Munro,2.77777777778,0.222222222222,9,2
MF Maharoof,1.40540540541,0.027027027027,37,0
Qaiser Ali,0.8,0.0,5,4
Mudassar Bukhari,0.818181818182,0.0,11,4
D Ramdin,1.74698795181,0.0963855421687,83,0
ND McKenzie,2.25,0.25,4,2
JE Taylor,0.903225806452,0.0,31,0
JEC Franklin,1.7358490566,0.0754716981132,53,0
LJ Wright,1.92105263158,0.0263157894737,38,2
RR Rossouw,3.96296296296,0.222222222222,27,1
MS Atapattu,2.63636363636,0.0,11,2
Junaid Siddique,2.20454545455,0.113636363636,44,2
S Dhaniram,2.45454545455,0.181818181818,11,2
AB Dinda,0.2,0.0,5,4
MKDI Amerasinghe,0.333333333333,0.0,3,4
ADJ Pitcher,1.0,0.0,1,0
KAJ Roach,0.526315789474,0.0,38,4
Junaid Siddiqui,0.5,0.0,4,4
Mohammad Shahzad,4.38888888889,0.166666666667,18,3
HH Dippenaar,2.5,0.25,8,2
GP Swann,1.08695652174,0.0,46,0
Adnan Akmal,0.75,0.0,4,4
Naved-ul-Hasan,1.15,0.0,20,0
RS Bopara,2.22429906542,0.140186915888,107,2
Mohammed Shami,0.684210526316,0.0,19,4
Haris Sohail,3.38095238095,0.333333333333,21,1
Shoaib Malik,2.81818181818,0.191919191919,99,2
Nasir Jamshed,3.52083333333,0.229166666667,48,1
Shuvagoto Hom,3.0,0.0,3,1
RW Price,0.702702702703,0.0,37,4
MA Ouma,1.78260869565,0.0434782608696,23,0
DC Thomas,1.10526315789,0.0,19,0
R Gunasekera,1.91666666667,0.25,12,2
RDM Leverock,0.222222222222,0.0,9,4
J Patraj,0.5,0.0,2,4
HS Baidwan,0.833333333333,0.0,12,4
Rizwan Cheema,2.46153846154,0.0769230769231,13,2
WD Parnell,1.47826086957,0.0434782608696,23,0
AR Berenger,1.625,0.125,8,0
TT Bresnan,1.52380952381,0.015873015873,63,0
DR Brown,1.5,0.0,4,0
CK Langeveldt,0.571428571429,0.0,14,4
RD Berrington,2.15789473684,0.157894736842,19,2
Dawlat Zadran,0.952380952381,0.0,21,0
DAJ Bracewell,0.428571428571,0.0,7,4
KD Mills,1.52542372881,0.0338983050847,59,0
UT Yadav,0.533333333333,0.0,15,4
Dolar Mahmud,2.25,0.0,4,2
JWM Dalrymple,1.36,0.08,25,0
KMDN Kulasekara,1.20388349515,0.0388349514563,103,0
K Weeraratne,1.66666666667,0.0,3,0
RG Aga,5.0,0.333333333333,3,3
TG Gordon,0.5,0.0,4,4
UT Khawaja,2.8,0.2,5,2
Suhrawadi Shuvo,1.0,0.0,10,0
RR Sarwan,2.90625,0.21875,64,1
CA Pujara,0.5,0.0,4,4
WB Rankin,0.0769230769231,0.0,13,4
Arafat Sunny,0.454545454545,0.0,11,4
Q de Kock,5.07272727273,0.236363636364,55,3
Yasir Hameed,1.2,0.2,5,0
K Whatham,2.0,0.0,1,2
TA Boult,0.727272727273,0.0,11,4
MJ Prior,2.27083333333,0.0625,48,2
