Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
PA Nixon,15.0,6.0,9.0,24,105.0,6,17.0,0,4.0,3.0,7,58,71,129,144,147,18,England,0,9
SB Styris,79.0,24.0,55.0,125,119.0,4,26.0,2,0.0,21.0,21,46,120,166,0,219,9,New Zealand,0,9
DL Vettori,5.0,0.0,5.0,6,119.0,4,26.0,2,0.0,21.0,21,46,120,166,0,219,9,New Zealand,0,9
JEC Franklin,0.0,0.0,0.0,0,119.0,4,26.0,2,0.0,21.0,21,46,120,166,0,219,9,New Zealand,0,9
TM Dilshan,2.0,0.0,2.0,8,150.0,3,15.0,1,4.0,23.0,27,62,130,192,220,222,26,Sri Lanka,0,9
KC Sangakkara,50.0,4.0,46.0,87,150.0,3,15.0,1,4.0,23.0,27,62,130,192,220,222,26,Sri Lanka,0,9
MV Boucher,8.0,4.0,4.0,14,105.0,3,22.0,1,0.0,20.0,20,36,111,147,0,193,11,South Africa,0,9
AG Prince,36.0,8.0,28.0,56,105.0,3,22.0,1,0.0,20.0,20,36,111,147,0,193,11,South Africa,0,9
SM Pollock,0.0,0.0,0.0,0,105.0,3,22.0,1,0.0,20.0,20,36,111,147,0,193,11,South Africa,0,9
AJ Hall,0.0,0.0,0.0,0,105.0,3,22.0,1,0.0,20.0,20,36,111,147,0,193,11,South Africa,0,9
CD McMillan,18.0,4.0,14.0,34,122.0,3,21.0,0,14.0,14.0,28,70,101,171,194,196,11,New Zealand,0,9
SB Styris,49.0,12.0,37.0,77,122.0,3,21.0,0,14.0,14.0,28,70,101,171,194,196,11,New Zealand,0,9
JDP Oram,0.0,0.0,0.0,0,122.0,3,21.0,0,14.0,14.0,28,70,101,171,194,196,11,New Zealand,0,9
KJ O'Brien,22.0,10.0,12.0,22,118.0,3,31.0,0,4.0,19.0,23,34,138,172,0,243,21,Ireland,0,9
WTS Porterfield,81.0,12.0,69.0,134,118.0,3,31.0,0,4.0,19.0,23,34,138,172,0,243,21,Ireland,0,9
DT Johnston,0.0,0.0,0.0,0,118.0,3,31.0,0,4.0,19.0,23,34,138,172,0,243,21,Ireland,0,9
Abdur Razzak,11.0,0.0,11.0,18,123.0,8,24.0,0,0.0,0.0,0,72,75,147,244,169,22,Bangladesh,0,9
Shahadat Hossain,0.0,0.0,0.0,0,123.0,8,24.0,0,0.0,0.0,0,72,75,147,244,169,22,Bangladesh,0,9
Habibul Bashar,32.0,8.0,24.0,58,123.0,8,24.0,0,0.0,0.0,0,72,75,147,244,169,22,Bangladesh,0,9
TM Dilshan,4.0,0.0,4.0,7,140.0,3,18.0,2,0.0,12.0,12,58,112,170,0,226,17,Sri Lanka,0,9
RP Arnold,0.0,0.0,0.0,2,140.0,3,18.0,2,0.0,12.0,12,58,112,170,0,226,17,Sri Lanka,0,9
MF Maharoof,0.0,0.0,0.0,0,140.0,3,18.0,2,0.0,12.0,12,58,112,170,0,226,17,Sri Lanka,0,9
KMDN Kulasekara,0.0,0.0,0.0,0,140.0,3,18.0,2,0.0,12.0,12,58,112,170,0,226,17,Sri Lanka,0,9
HMCM Bandara,0.0,0.0,0.0,0,140.0,3,18.0,2,0.0,12.0,12,58,112,170,0,226,17,Sri Lanka,0,9
A Symonds,56.0,28.0,28.0,63,182.0,3,26.0,0,10.0,5.0,15,118,105,223,227,232,9,Australia,0,9
