Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
Q de Kock,0,0,0,0,0,0,0,0,18,18,0,South Africa,0
HM Amla,0,0,0,0,0,0,0,0,11,11,0,South Africa,0
H Masakadza,0,0,0,0,0,0,0,0,6,6,180,Zimbabwe,1
R Mutumbami,0,0,0,0,0,0,0,0,6,6,180,Zimbabwe,1
H Masakadza,0,0,0,0,0,0,0,0,4,4,0,Zimbabwe,1
Sikandar Raza,0,0,0,0,0,0,0,0,9,9,0,Zimbabwe,1
R Mutumbami,0,0,0,0,0,0,0,0,0,0,0,Zimbabwe,1
E Chigumbura,0,0,0,0,0,0,0,0,11,11,0,Zimbabwe,1
Q de Kock,0,0,0,0,0,0,0,0,16,16,166,South Africa,0
RR Rossouw,0,0,0,0,0,0,0,0,0,0,166,South Africa,0
F du Plessis,0,0,0,0,0,0,0,0,6,6,166,South Africa,0
AJ Finch,0,0,0,0,0,0,0,0,8,8,0,Australia,0
BJ Haddin,0,0,0,0,0,0,0,0,6,6,0,Australia,0
TMK Mawoyo,0,0,0,0,0,0,0,0,1,1,144,Zimbabwe,1
Sikandar Raza,0,0,0,0,0,0,0,0,1,1,144,Zimbabwe,1
H Masakadza,0,0,0,0,0,0,0,0,9,9,144,Zimbabwe,1
AJ Finch,0,0,0,0,0,0,0,0,10,10,0,Australia,0
PJ Hughes,0,0,0,0,0,0,0,0,16,16,0,Australia,0
Q de Kock,0,0,0,0,0,0,0,0,14,14,319,South Africa,0
HM Amla,0,0,0,0,0,0,0,0,19,19,319,South Africa,0
HM Amla,0,0,0,0,0,0,0,0,17,17,0,South Africa,0
Q de Kock,0,0,0,0,0,0,0,0,8,8,0,South Africa,0
TMK Mawoyo,0,0,0,0,0,0,0,0,0,0,163,Zimbabwe,1
Sikandar Raza,0,0,0,0,0,0,0,0,12,12,163,Zimbabwe,1
H Masakadza,0,0,0,0,0,0,0,0,4,4,163,Zimbabwe,1
AJ Finch,0,0,0,0,0,0,0,0,11,11,0,Australia,0
PJ Hughes,0,0,0,0,0,0,0,0,1,1,0,Australia,0
MJ Clarke,0,0,0,0,0,0,0,0,2,2,0,Australia,0
TMK Mawoyo,0,0,0,0,0,0,0,0,3,3,188,Zimbabwe,1
Sikandar Raza,0,0,0,0,0,0,0,0,6,6,188,Zimbabwe,1
AJ Finch,0,0,0,0,0,0,0,0,6,6,0,Australia,0
PJ Hughes,0,0,0,0,0,0,0,0,13,13,0,Australia,0
HM Amla,0,0,0,0,0,0,0,0,10,10,204,South Africa,0
Q de Kock,0,0,0,0,0,0,0,0,1,1,204,South Africa,0
F du Plessis,0,0,0,0,0,0,0,0,5,5,204,South Africa,0
Q de Kock,0,0,0,0,0,0,0,0,2,2,0,South Africa,0
F du Plessis,0,0,0,0,0,0,0,0,5,5,0,South Africa,0
HM Amla,0,0,0,0,0,0,0,0,4,4,0,South Africa,0
V Sibanda,0,0,0,0,0,0,0,0,10,10,196,Zimbabwe,1
Sikandar Raza,0,0,0,0,0,0,0,0,10,10,196,Zimbabwe,1
AJ Finch,0,0,0,0,0,0,0,0,11,11,0,Australia,0
PJ Hughes,0,0,0,0,0,0,0,0,15,15,0,Australia,0
SPD Smith,0,0,0,0,0,0,0,0,1,1,0,Australia,0
HM Amla,0,0,0,0,0,0,0,0,11,11,218,South Africa,0
Q de Kock,0,0,0,0,0,0,0,0,7,7,218,South Africa,0
F du Plessis,0,0,0,0,0,0,0,0,2,2,218,South Africa,0
AP Devcich,0,0,0,0,0,0,0,0,10,10,0,New Zealand,0
DG Brownlie,0,0,0,0,0,0,0,0,9,9,0,New Zealand,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,6,6,238,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,6,6,238,Pakistan,0
Asad Shafiq,0,0,0,0,0,0,0,0,0,0,238,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,10,10,0,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,0,0,0,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,6,6,0,Pakistan,0
Asad Shafiq,0,0,0,0,0,0,0,0,1,1,0,Pakistan,0
Haris Sohail,0,0,0,0,0,0,0,0,1,1,0,Pakistan,0
DG Brownlie,0,0,0,0,0,0,0,0,14,14,240,New Zealand,0
AP Devcich,0,0,0,0,0,0,0,0,4,4,240,New Zealand,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,15,15,0,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,15,15,0,Pakistan,0
MJ Guptill,0,0,0,0,0,0,0,0,12,12,208,New Zealand,0
AP Devcich,0,0,0,0,0,0,0,0,0,0,208,New Zealand,0
KS Williamson,0,0,0,0,0,0,0,0,4,4,208,New Zealand,0
MJ Guptill,0,0,0,0,0,0,0,0,9,9,0,New Zealand,0
DG Brownlie,0,0,0,0,0,0,0,0,9,9,0,New Zealand,0
Nasir Jamshed,0,0,0,0,0,0,0,0,17,17,277,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,0,0,277,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,1,1,277,Pakistan,0
MJ Guptill,0,0,0,0,0,0,0,0,8,8,0,New Zealand,0
DG Brownlie,0,0,0,0,0,0,0,0,11,11,0,New Zealand,0
KS Williamson,0,0,0,0,0,0,0,0,10,10,0,New Zealand,0
Nasir Jamshed,0,0,0,0,0,0,0,0,0,0,204,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,5,5,204,Pakistan,0
Ahmed Shehzad,0,0,0,0,0,0,0,0,6,6,204,Pakistan,0
JJ Roy,0,0,0,0,0,0,0,0,0,0,0,England,1
JE Root,0,0,0,0,0,0,0,0,22,22,0,England,1
AD Hales,0,0,0,0,0,0,0,0,13,13,0,England,1
MJ Guptill,0,0,0,0,0,0,0,0,15,15,181,New Zealand,0
BB McCullum,0,0,0,0,0,0,0,0,10,10,181,New Zealand,0
KS Williamson,0,0,0,0,0,0,0,0,8,8,181,New Zealand,0
MJ Guptill,0,0,0,0,0,0,0,0,16,16,0,New Zealand,0
BB McCullum,0,0,0,0,0,0,0,0,12,12,0,New Zealand,0
JJ Roy,0,0,0,0,0,0,0,0,17,17,356,England,1
AD Hales,0,0,0,0,0,0,0,0,10,10,356,England,1
JJ Roy,0,0,0,0,0,0,0,0,8,8,0,England,1
AD Hales,0,0,0,0,0,0,0,0,18,18,0,England,1
MJ Guptill,0,0,0,0,0,0,0,0,2,2,289,New Zealand,0
BB McCullum,0,0,0,0,0,0,0,0,5,5,289,New Zealand,0
KS Williamson,0,0,0,0,0,0,0,0,10,10,289,New Zealand,0
MJ Guptill,0,0,0,0,0,0,0,0,10,10,0,New Zealand,0
BB McCullum,0,0,0,0,0,0,0,0,14,14,0,New Zealand,0
JJ Roy,0,0,0,0,0,0,0,0,11,11,344,England,1
AD Hales,0,0,0,0,0,0,0,0,16,16,344,England,1
MJ Guptill,0,0,0,0,0,0,0,0,8,8,0,New Zealand,0
BB McCullum,0,0,0,0,0,0,0,0,6,6,0,New Zealand,0
KS Williamson,0,0,0,0,0,0,0,0,10,10,0,New Zealand,0
JJ Roy,0,0,0,0,0,0,0,0,10,10,178,England,1
AD Hales,0,0,0,0,0,0,0,0,1,1,178,England,1
JE Root,0,0,0,0,0,0,0,0,4,4,178,England,1
EJG Morgan,0,0,0,0,0,0,0,0,0,0,178,England,1
BA Stokes,0,0,0,0,0,0,0,0,2,2,178,England,1
JA Burns,0,0,0,0,0,0,0,0,27,27,0,Australia,0
DA Warner,0,0,0,0,0,0,0,0,16,16,0,Australia,0
WTS Porterfield,0,0,0,0,0,0,0,0,4,4,140,Ireland,1
EC Joyce,0,0,0,0,0,0,0,0,6,6,140,Ireland,1
PR Stirling,0,0,0,0,0,0,0,0,0,0,140,Ireland,1
NJ O'Brien,0,0,0,0,0,0,0,0,12,12,140,Ireland,1
JA Burns,0,0,0,0,0,0,0,0,7,7,0,Australia,0
DA Warner,0,0,0,0,0,0,0,0,12,12,0,Australia,0
JJ Roy,0,0,0,0,0,0,0,0,16,16,242,England,1
AD Hales,0,0,0,0,0,0,0,0,19,19,242,England,1
JA Burns,0,0,0,0,0,0,0,0,8,8,0,Australia,0
DA Warner,0,0,0,0,0,0,0,0,1,1,0,Australia,0
SPD Smith,0,0,0,0,0,0,0,0,7,7,0,Australia,0
JJ Roy,0,0,0,0,0,0,0,0,16,16,229,England,1
AD Hales,0,0,0,0,0,0,0,0,10,10,229,England,1
JJ Roy,0,0,0,0,0,0,0,0,14,14,0,England,1
AD Hales,0,0,0,0,0,0,0,0,6,6,0,England,1
JA Burns,0,0,0,0,0,0,0,0,6,6,198,Australia,0
AJ Finch,0,0,0,0,0,0,0,0,14,14,198,Australia,0
JA Burns,0,0,0,0,0,0,0,0,2,2,0,Australia,0
AJ Finch,0,0,0,0,0,0,0,0,10,10,0,Australia,0
SPD Smith,0,0,0,0,0,0,0,0,3,3,0,Australia,0
JJ Roy,0,0,0,0,0,0,0,0,5,5,292,England,1
AD Hales,0,0,0,0,0,0,0,0,0,0,292,England,1
JWA Taylor,0,0,0,0,0,0,0,0,25,25,292,England,1
JJ Roy,0,0,0,0,0,0,0,0,4,4,0,England,1
JWA Taylor,0,0,0,0,0,0,0,0,10,10,0,England,1
AD Hales,0,0,0,0,0,0,0,0,4,4,0,England,1
