Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Target,Team
DJ Bravo,4,4,0,4,166,1,26,1,248,West Indies
BC Lara,0,0,0,0,166,1,26,1,249,West Indies
JH Kallis,27,0,27,47,174,3,25,0,0,South Africa
AG Prince,29,4,25,39,174,3,25,0,0,South Africa
MV Boucher,0,0,0,0,174,3,25,0,0,South Africa
Mohammad Sami,26,12,14,46,149,8,21,0,225,Pakistan
Shoaib Malik,20,4,16,54,149,8,21,0,226,Pakistan
Inzamam-ul-Haq,1,0,1,4,176,2,21,1,0,Pakistan
Mohammad Yousuf,46,16,30,68,176,2,21,1,0,Pakistan
Shahid Afridi,0,0,0,0,176,2,21,1,0,Pakistan
A Nel,5,0,5,13,161,6,19,1,198,South Africa
M Ntini,0,0,0,0,161,6,19,1,199,South Africa
SM Pollock,24,14,10,27,161,6,19,1,200,South Africa
CK Langeveldt,0,0,0,0,161,6,19,1,201,South Africa
Abdul Razzaq,1,0,1,12,71,4,18,1,0,Pakistan
Azhar Mahmood,0,0,0,0,71,4,18,1,0,Pakistan
Inzamam-ul-Haq,37,16,21,70,71,4,18,1,0,Pakistan
Naved-ul-Hasan,0,0,0,0,71,4,18,1,0,Pakistan
Iftikhar Anjum,4,0,4,7,105,7,20,1,0,Pakistan
Shoaib Malik,33,16,17,56,105,7,20,1,0,Pakistan
Mohammad Asif,0,0,0,0,105,7,20,1,0,Pakistan
PG Fulton,14,0,14,18,162,2,21,0,0,New Zealand
