Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Match Index,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,26,Mushfiqur Rahim,6,4,2,32,7,2,18,1,0,2,2,16,11,27,319,112,4,0,3,2.61111,0.18254,27.7778,75.2526,126,4
Bangladesh,160,218.438,7.70625,0.4,211.106,7.05,0.325,26,Habibul Bashar,0,0,0,0,7,2,18,1,0,2,2,16,11,27,319,112,4,0,3,1.125,0,15.25,51.2605,16,3
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,27,Imran Nazir,16,8,8,25,23,0,8,1,24,9,33,40,24,64,0,349,8,0,3,4.66667,0.133333,29,96.0265,15,0
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,27,Shoaib Malik,0,0,0,10,23,0,8,1,24,9,33,40,24,64,0,349,8,0,3,2.77551,0.193878,28.7041,81.4418,98,4
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,27,BRM Taylor,4,0,4,10,11,2,12,1,36,15,51,40,34,74,350,99,3,0,3,3.3,0.26,33.56,76.3421,100,4
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,27,S Matsikenyeri,7,4,3,19,11,2,12,1,36,15,51,40,34,74,350,99,3,0,3,2,0.106383,19.9787,75.7869,47,1
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,27,SC Williams,0,0,0,0,11,2,12,1,36,15,51,40,34,74,350,99,3,0,3,2.56923,0.276923,28.5385,80.7927,65,4
Zimbabwe,142,212.077,7.5,0.380282,227.704,6.97887,0.316901,27,E Chigumbura,0,0,0,0,11,2,12,1,36,15,51,40,34,74,350,99,3,0,3,2.28947,0.114035,22.7895,77.7844,114,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,29,DPMD Jayawardene,1,0,1,12,9,0,19,1,8,6,14,20,22,42,0,254,18,0,3,3.20833,0.244792,31.6979,79.1109,192,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,29,WU Tharanga,21,12,9,29,9,0,19,1,8,6,14,20,22,42,0,254,18,0,3,3.93985,0.263158,32.9699,71.6035,133,4
