Match Index,Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
45,JH Kallis,0.0,0.0,0.0,0,0.0,0,13.0,0,8.0,10.0,18,12,19,31,0,356,5,South Africa,0,2
45,DS Smith,11.0,4.0,7.0,11,0.0,0,20.0,1,20.0,21.0,41,24,37,61,357,289,0,West Indies,1,2
45,CH Gayle,5.0,0.0,5.0,12,0.0,0,20.0,1,20.0,21.0,41,24,37,61,357,289,0,West Indies,1,2
46,PG Fulton,3.0,0.0,3.0,14,0.0,0,3.0,2,8.0,6.0,14,8,9,17,0,219,1,New Zealand,0,2
46,SB Styris,0.0,0.0,0.0,11,0.0,0,3.0,2,8.0,6.0,14,8,9,17,0,219,1,New Zealand,0,2
46,ST Jayasuriya,5.0,4.0,1.0,8,0.0,0,18.0,1,18.0,13.0,31,26,23,49,220,222,17,Sri Lanka,0,2
46,KC Sangakkara,2.0,0.0,2.0,2,0.0,0,18.0,1,18.0,13.0,31,26,23,49,220,222,17,Sri Lanka,0,2
47,AR White,1.0,0.0,1.0,3,0.0,0,11.0,4,4.0,7.0,11,12,10,22,0,91,8,Ireland,0,2
47,KJ O'Brien,8.0,8.0,0.0,6,0.0,0,11.0,4,4.0,7.0,11,12,10,22,0,91,8,Ireland,0,2
47,MEK Hussey,6.0,0.0,6.0,17,0.0,0,30.0,0,22.0,15.0,37,34,33,67,92,92,10,Australia,0,2
47,AC Gilchrist,24.0,12.0,12.0,18,0.0,0,30.0,0,22.0,15.0,37,34,33,67,92,92,10,Australia,0,2
47,A Symonds,0.0,0.0,0.0,0,0.0,0,30.0,0,22.0,15.0,37,34,33,67,92,92,10,Australia,0,2
48,JH Kallis,2.0,0.0,2.0,8,0.0,0,3.0,2,4.0,3.0,7,4,6,10,0,193,2,South Africa,0,2
48,HH Gibbs,0.0,0.0,0.0,5,0.0,0,3.0,2,4.0,3.0,7,4,6,10,0,193,2,South Africa,0,2
48,PG Fulton,7.0,4.0,3.0,24,0.0,0,11.0,0,16.0,10.0,26,20,17,37,194,196,2,New Zealand,0,2
48,SP Fleming,4.0,0.0,4.0,7,0.0,0,11.0,0,16.0,10.0,26,20,17,37,194,196,2,New Zealand,0,2
48,LRPL Taylor,0.0,0.0,0.0,0,0.0,0,11.0,0,16.0,10.0,26,20,17,37,194,196,2,New Zealand,0,2
49,WTS Porterfield,14.0,4.0,10.0,19,0.0,0,19.0,0,0.0,7.0,7,4,22,26,0,243,6,Ireland,0,2
49,JP Bray,5.0,0.0,5.0,13,0.0,0,19.0,0,0.0,7.0,7,4,22,26,0,243,6,Ireland,0,2
49,Tamim Iqbal,2.0,0.0,2.0,17,0.0,0,9.0,0,14.0,9.0,23,18,14,32,244,169,13,Bangladesh,0,2
49,Shahriar Nafees,7.0,4.0,3.0,18,0.0,0,9.0,0,14.0,9.0,23,18,14,32,244,169,13,Bangladesh,0,2
